05/11/18;09:23:47.922;INFO;Server;Command: ExecRobotTask (TurnOnAutoFill,500000);
05/11/18;09:23:47.923;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;09:23:47.923;INFO;Controller;Status = Executing: TurnOnAutoFill;
05/11/18;09:23:47.923;INFO;Controller;State = Running;
05/11/18;09:23:48.844;INFO;Robot Runtime;executing:    TurnOnAutoFill;
05/11/18;09:23:49.432;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;09:23:49.433;INFO;Controller;State = Ready;
05/11/18;09:24:03.557;WARNING;Robot;Alarm active: Device is offline;
05/11/18;09:24:03.558;INFO;Controller;State = Communication Error;
05/11/18;09:24:04.663;INFO;Robot;Alarm inactive: Device is offline;
05/11/18;09:24:04.663;WARNING;Controller;Communication resumed, trying updating devices;
05/11/18;09:24:04.663;INFO;Controller;Finished device updating;
05/11/18;09:24:04.663;INFO;Controller;State = Ready;
05/11/18;09:56:02.998;INFO;Interface;Command: ExecRobotTask (initialize,-1);
05/11/18;09:56:02.998;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;09:56:02.998;INFO;Controller;Status = Executing: initialize;
05/11/18;09:56:02.998;INFO;Controller;State = Running;
05/11/18;09:56:03.929;INFO;Robot Runtime;executing:    initialize;
05/11/18;09:56:05.273;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;09:56:05.273;INFO;Controller;State = Ready;
05/11/18;09:56:11.499;INFO;Interface;Command: ExecRobotTask (park,-1);
05/11/18;09:56:11.500;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;09:56:11.500;INFO;Controller;Status = Executing: park;
05/11/18;09:56:11.500;INFO;Controller;State = Running;
05/11/18;09:56:12.806;INFO;Robot Runtime;executing:    park;
05/11/18;09:56:30.273;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;09:56:30.273;INFO;Controller;State = Ready;
05/11/18;09:57:25.991;INFO;Interface;Command: ExecRobotTask (finish,-1);
05/11/18;09:57:25.991;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;09:57:25.992;INFO;Controller;Status = Executing: finish;
05/11/18;09:57:25.992;INFO;Controller;State = Running;
05/11/18;09:57:26.903;INFO;Robot Runtime;executing:    finish;
05/11/18;09:58:15.880;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;09:58:15.881;INFO;Controller;State = Ready;
05/11/18;15:47:50.540;INFO;Interface;Command: ExecRobotTask (initialized,-1);
05/11/18;15:47:50.540;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;15:47:50.540;INFO;Controller;Status = Executing: initialized;
05/11/18;15:47:50.540;INFO;Controller;State = Running;
05/11/18;15:47:50.634;INFO;Robot Runtime;executing:    initialized;
05/11/18;15:47:50.788;INFO;Controller;Activity ExecRobotTask ended. Return value: ;
05/11/18;15:47:50.789;INFO;Controller;State = Ready;
05/11/18;15:47:59.955;INFO;Interface;Command: ExecRobotTask (initialize,-1);
05/11/18;15:47:59.955;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;15:47:59.955;INFO;Controller;Status = Executing: initialize;
05/11/18;15:47:59.955;INFO;Controller;State = Running;
05/11/18;15:48:00.835;INFO;Robot Runtime;executing:    initialize;
05/11/18;15:48:02.478;INFO;Robot Runtime;Robot power is on manual;
05/11/18;15:48:02.652;INFO;Controller;Activity ExecRobotTask ended. Return value: ABORT: Robot power is on manual;
05/11/18;15:48:02.652;INFO;Controller;State = Ready;
05/11/18;15:50:00.600;INFO;Interface;Command: ExecRobotTask (Initialize,-1);
05/11/18;15:50:00.601;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;15:50:00.601;INFO;Controller;Status = Executing: Initialize;
05/11/18;15:50:00.601;INFO;Controller;State = Running;
05/11/18;15:50:01.457;INFO;Robot Runtime;executing:    Initialize;
05/11/18;15:50:02.685;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;15:50:02.685;INFO;Controller;State = Ready;
05/11/18;15:50:15.198;INFO;Interface;Command: ExecRobotTask (park,-1);
05/11/18;15:50:15.198;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;15:50:15.198;INFO;Controller;Status = Executing: park;
05/11/18;15:50:15.199;INFO;Controller;State = Running;
05/11/18;15:50:16.497;INFO;Robot Runtime;executing:    park;
05/11/18;15:50:20.023;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;15:50:20.024;INFO;Controller;State = Ready;
05/11/18;15:56:35.905;INFO;Interface;Command: ExecRobotTask (Initialize,-1);
05/11/18;15:56:35.905;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;15:56:35.905;INFO;Controller;Status = Executing: Initialize;
05/11/18;15:56:35.906;INFO;Controller;State = Running;
05/11/18;15:56:36.773;INFO;Robot Runtime;executing:    Initialize;
05/11/18;15:56:37.740;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;15:56:37.740;INFO;Controller;State = Ready;
05/11/18;15:56:44.113;INFO;Interface;Command: ExecRobotTask (finish,-1);
05/11/18;15:56:44.113;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
05/11/18;15:56:44.113;INFO;Controller;Status = Executing: finish;
05/11/18;15:56:44.113;INFO;Controller;State = Running;
05/11/18;15:56:45.037;INFO;Robot Runtime;executing:    finish;
05/11/18;15:59:21.730;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
05/11/18;15:59:21.730;INFO;Controller;State = Ready;
