06/01/20;09:28:28.792;INFO;Interface;Command: ExecRobotTask (checktoolconfig,-1);
06/01/20;09:28:28.792;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/01/20;09:28:28.792;INFO;Controller;Status = Executing: checktoolconfig;
06/01/20;09:28:28.792;INFO;Controller;State = Running;
06/01/20;09:28:28.860;INFO;Robot Runtime;executing:    checktoolconfig;
06/01/20;09:28:28.907;INFO;Robot Runtime;Invalid Gripper: C014;
06/01/20;09:28:28.928;INFO;Robot Runtime;Invalid Gripper: C017;
06/01/20;09:28:28.950;INFO;Robot Runtime;Valid Gripper: C015;
06/01/20;09:28:28.971;INFO;Robot Runtime;Valid Gripper: C019;
06/01/20;09:28:29.040;INFO;Robot Runtime;Current Tool: C019 (Valid);
06/01/20;09:28:29.286;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
06/01/20;09:28:29.286;INFO;Controller;State = Ready;
06/01/20;09:31:14.982;INFO;Server;Command: ExecRobotTask (Initialize,500000);
06/01/20;09:31:14.982;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/01/20;09:31:14.982;INFO;Controller;Status = Executing: Initialize;
06/01/20;09:31:14.982;INFO;Controller;State = Running;
06/01/20;09:31:15.046;INFO;Robot Runtime;executing:    Initialize;
06/01/20;09:31:15.975;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
06/01/20;09:31:15.975;INFO;Controller;State = Ready;
06/01/20;09:31:15.984;INFO;Server;Command: ExecRobotTask (Cooldown,500000);
06/01/20;09:31:15.984;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/01/20;09:31:15.984;INFO;Controller;Status = Executing: Cooldown;
06/01/20;09:31:15.984;INFO;Controller;State = Running;
06/01/20;09:31:26.001;INFO;Robot;Abort;
06/01/20;09:31:26.094;INFO;Controller;Activity ExecRobotTask ended with exception: Timeout waiting busy;
06/01/20;09:31:26.094;WARNING;Activity;Exception: Robot timeout waiting busy
Stack trace:
org.embl.ctrl.Device$TimeoutWaitBusyException: Timeout waiting busy
	at org.embl.dev.staubli.StaubliRobot.executeTask(StaubliRobot.java:1162)
	at org.embl.dev.staubli.StaubliRobot.executeTask(StaubliRobot.java:1124)
	at org.embl.sw.Control.execRobotTask(Control.java:489)
	at org.embl.sw.Control$2.run(Control.java:380)
	at org.embl.task.ActivityManager.runTask(ActivityManager.java:104)
	at org.embl.task.ActivityManager.access$000(ActivityManager.java:22)
	at org.embl.task.ActivityManager$ActivityThread.run(ActivityManager.java:145)
;
06/01/20;09:31:26.094;INFO;Controller;State = Ready;
06/01/20;09:31:26.106;INFO;Server;Command: ExecRobotTask (TraceSample,500000);
06/01/20;09:31:26.106;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/01/20;09:31:26.106;INFO;Controller;Status = Executing: TraceSample;
06/01/20;09:31:26.106;INFO;Controller;State = Running;
06/01/20;09:31:26.197;INFO;Robot Runtime;executing:    TraceSample;
06/01/20;09:31:27.094;INFO;Controller;Activity ExecRobotTask ended. Return value: Done False/False/False;
06/01/20;09:31:27.094;INFO;Controller;State = Ready;
06/01/20;09:31:27.107;INFO;Server;Command: ExecRobotTask (Finish,500000);
06/01/20;09:31:27.107;INFO;Controller;Executing asynchronous activity: ExecRobotTask;
06/01/20;09:31:27.107;INFO;Controller;Status = Executing: Finish;
06/01/20;09:31:27.107;INFO;Controller;State = Running;
06/01/20;09:31:27.177;INFO;Robot Runtime;executing:    Finish;
06/01/20;09:31:43.263;INFO;Controller;Activity ExecRobotTask ended. Return value: Done;
