,Date,Time,Load
0,05/06/21,10:59:01,-0.848
1,05/06/21,11:23:05,-0.918
2,05/06/21,12:56:44,-1.217
3,05/06/21,13:22:03,-1.108
4,05/06/21,13:37:03,-1.019
5,05/06/21,13:48:07,-1.127
6,05/06/21,13:56:21,-1.135
7,05/06/21,14:19:09,-1.118
8,05/06/21,14:26:57,-1.082
9,05/06/21,14:48:54,-1.183
10,05/06/21,15:00:05,-1.049
11,05/06/21,15:04:56,-1.064
12,05/06/21,15:12:34,-1.07
13,05/06/21,15:20:42,-1.063
14,05/06/21,15:32:29,-1.07
15,05/06/21,15:44:22,-0.843
16,05/06/21,15:55:35,-1.016
17,05/06/21,16:09:24,-1.095
18,05/06/21,16:27:25,-0.969
19,05/06/21,16:58:34,-1.045
20,05/06/21,17:12:41,-1.002
21,05/06/21,17:21:08,-1.031
22,05/06/21,17:32:33,-1.054
23,05/06/21,17:40:38,-1.048
24,05/06/21,17:44:51,-1.108
25,05/06/21,17:47:42,-1.068
26,05/06/21,17:59:03,-0.967
27,05/06/21,18:08:57,-1.041
28,05/06/21,18:51:35,-1.069
29,05/06/21,18:59:30,-0.712
30,05/06/21,19:02:32,-0.56
31,05/06/21,19:10:17,-0.343
32,05/06/21,19:17:55,-0.231
33,05/06/21,19:26:03,-0.679
