,Date,Time,Unmount
0,31/07/21,00:00:42,-0.715
1,31/07/21,00:04:41,-0.71
2,31/07/21,00:08:38,-0.714
3,31/07/21,00:12:35,-0.733
4,31/07/21,00:16:32,-0.72
5,31/07/21,00:20:36,-0.727
6,31/07/21,00:24:34,-0.711
7,31/07/21,00:28:26,-0.726
8,31/07/21,00:32:28,-0.72
9,31/07/21,00:36:30,-0.708
10,31/07/21,00:40:32,-0.722
11,31/07/21,00:44:26,-0.713
12,31/07/21,00:48:22,-0.737
13,31/07/21,00:52:26,-0.733
14,31/07/21,00:56:24,-0.714
15,31/07/21,01:00:26,-0.714
16,31/07/21,01:04:26,-0.704
17,31/07/21,01:08:32,-0.71
18,31/07/21,01:12:30,-0.716
19,31/07/21,01:16:29,-0.732
20,31/07/21,01:20:28,-0.731
21,31/07/21,01:33:47,-0.807
22,31/07/21,01:37:11,-0.801
23,31/07/21,01:39:42,-0.817
24,31/07/21,01:45:19,-0.818
25,31/07/21,01:52:36,-0.803
26,31/07/21,01:57:43,-0.807
27,31/07/21,02:01:03,-0.824
28,31/07/21,02:05:28,-0.802
29,31/07/21,02:08:56,-0.823
30,31/07/21,02:10:36,-0.84
31,31/07/21,02:13:47,-0.827
32,31/07/21,02:16:24,-0.809
33,31/07/21,02:19:26,-0.818
34,31/07/21,02:23:17,-0.843
35,31/07/21,02:26:31,-0.796
36,31/07/21,02:31:12,-0.794
37,31/07/21,02:38:40,-0.8
38,31/07/21,02:45:02,-0.794
39,31/07/21,02:54:40,-0.805
40,31/07/21,02:57:03,-0.796
41,31/07/21,03:02:49,-0.789
42,31/07/21,03:09:21,-0.776
43,31/07/21,03:16:16,-0.805
44,31/07/21,03:19:19,-0.814
45,31/07/21,03:22:10,-0.82
46,31/07/21,03:30:23,-0.792
47,31/07/21,03:36:46,-0.78
48,31/07/21,03:40:12,-0.789
49,31/07/21,12:08:48,-0.921
50,31/07/21,12:37:02,-0.87
51,31/07/21,12:50:37,-0.876
52,31/07/21,12:54:42,-0.874
53,31/07/21,12:57:34,-0.857
54,31/07/21,13:02:58,-0.846
55,31/07/21,13:07:55,-0.874
56,31/07/21,13:10:10,-0.865
57,31/07/21,13:12:46,-0.869
58,31/07/21,13:16:42,-0.882
59,31/07/21,13:18:53,-0.845
60,31/07/21,13:22:17,-0.854
61,31/07/21,13:25:52,-0.841
62,31/07/21,13:28:44,-0.846
63,31/07/21,13:34:37,-0.83
64,31/07/21,13:37:10,-0.851
65,31/07/21,13:40:00,-0.857
66,31/07/21,13:41:53,-0.832
67,31/07/21,13:44:10,-0.86
68,31/07/21,13:45:17,-0.855
69,31/07/21,13:47:13,-0.852
70,31/07/21,13:49:44,-0.834
71,31/07/21,13:52:49,-0.843
72,31/07/21,13:56:19,-0.826
73,31/07/21,14:10:42,-0.813
74,31/07/21,14:13:23,-0.834
75,31/07/21,14:14:26,-0.824
76,31/07/21,14:17:28,-0.833
77,31/07/21,14:32:25,-0.809
78,31/07/21,14:38:26,-0.816
