,Date,Mounts
0,20210617,81
1,20210603,8
2,20210429,24
3,20210628,19
4,20210614,19
5,20210615,69
6,20210629,69
7,20210605,34
8,20210610,28
9,20210604,58
10,20210228,115
11,20210809,114
12,20210607,11
13,20210808,74
14,20210728,81
15,20210310,9
16,20210304,117
17,20210311,33
18,20210701,82
19,20210729,184
20,20210517,2
21,20210717,20
22,20210716,8
23,20210514,22
24,20210528,9
25,20210712,53
26,20210302,30
27,20210303,80
28,20210707,10
29,20210301,75
30,20210710,51
31,20210709,73
32,20210319,122
33,20210325,42
34,20210324,58
35,20210318,78
36,20210520,2
37,20210722,5
38,20210525,1
39,20210519,2
40,20210727,91
41,20210323,124
42,20210322,114
43,20210726,44
44,20210524,3
45,20210526,8
46,20210730,212
47,20210718,71
48,20210320,101
49,20210309,7
50,20210321,113
51,20210719,30
52,20210731,160
53,20210527,27
54,20210226,142
55,20210805,59
56,20210622,8
57,20210810,85
58,20210227,142
59,20210225,29
60,20210806,81
61,20210621,8
62,20210608,23
63,20210807,141
64,20210224,11
65,20210624,5
66,20210625,91
67,20210802,67
68,20210626,59
69,20210801,32
