,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,,,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,,,,
,,,,,,,,,,Proprietary,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,,FMX afternoon,,FMX overnight,,,NYX morning,,NYX afternoon,,NYX overnight,,DATE,,,
,,,,,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,,9 am - 3 pm,,4 pm-10 pm,,10 pm - 7 am,,,9 am - 3 pm,,4 pm -10 pm,,10 pm - 7 am,,,,,
,OCTOBER,1,Thu,M,,,,,,,,,,,,,,,,,,,,,,1,,,
,,2,Fri,M,,,,,,,,,,,,,,,,,,,,,,2,,,
,,3,Sat,M,,,,,,,,,,,,,,,,,,,,,,3,,,
,,4,Sun,M,,,,,,,,,,,,,,,,,,,,,,4,,,
,,5,Mon,M,,,,,,,,,,,,,,,,,,,,,,5,,,
,,6,Tue,M,,,,,,,,,,,,,,,,,,,,,,6,,,
,,7,Wed,M,,,,,,,,,,,,,,,,,,,,,,7,,,
,,8,Thur,M,,,,,,,,,,,,,,,,,,,,,,8,,,
,,9,Fri,M,,,,,,,,,,,,,,,,,,,,,,9,,,
,,10,Sat,M,,,,,,,,,,,,,,,,,,,,,,10,,,
,,11,Sun,M,,,,,,,,,,,,,,,,,,,,,,11,,,
,,12,Mon,M,,,,,,,,,,,,,,,,,,,,,,12,,,
,,13,Tue,M,,,,,,,,,,,,,,,,,,,,,,13,,,
,,14,Wed,M,,,,,,,,,,,,,,,,,,,,,,14,,,
,,15,Thur,M,,,,,,,,,,,,,,,,,,,,,,15,,,
