,,,,,,Maintenance,,,,Commissioning,,,xxxx,,Cancelled due to Machine problem,,xxxxx,rescheduled due to machine pb,,,,,,USER Rescheduled,,
,,,,,,Study,,,,Available,,,xxxx,,Cancelled due to beam line problem ,,xxxxx,rescheduled due to beamline problem pb,,,,,,User did not finish,,
,,,,,,,,,,Proprietary,,,,Reserved for groups with MANY Crystals,,,,,,,,,,User Cancelled,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTH,DATE,WeekDay,Operation,,AMX morning,Local,AMX afternoon,Local,AMX overnight,Local,,FMX morning,Local ,FMX afternoon,Local ,FMX overnight,Local ,,NYX morning,Local,NYX afternoon,Local,NYX overnight,Local,DATE
,,,,,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,,9 am - 3 pm,Contact,4 pm-10 pm,Contact,10 pm - 7am,Contact,,9 am - 3 pm,Contact,4 pm -10 pm,Contact,10 pm - 7 am,Contact,
,MAY,1,Sat,S,,,,,,,,,,,,,,,,,,,,,,1
,,2,Sun,S,,,,,,,,,,,,,,,,,,,,,,2
,,3,Mon,S/O,,BLC,,,,,,,BLC,,,,,,,,,,,,,3
,,4,Tue,O,,BLC,,VPN Connection Tests,,,,,BLC,,VPN Connection Tests,,,,,,,,,,,4
,,5,Wed,O,,BLC,,,,,,,BLC,,,,,,,,,,,,,5
,,6,Thu,O,,BLC,,,,,,,BLC,,,,,,,,,,,,,6
,,7,Fri,O,,BLC,,Live ConnectionTraining,,,,,BLC,,Live ConnectionTraining,,,,,,,,,,,7
,,8,Sat,O,,BLC,,,,,,,BLC,,,,,,,,,,,,,8
,,9,Sun,O,,BLC,,,,,,,BLC,,,,,,,,,,,,,9
,,10,Mon,O,,BLC,,,,,,,BLC,,,,,,,,,,,,,10
,,11,Tue,O/M,,,,,,,,,,,,,,,,,,,,,,11
,,12,Wed,M/S,,,,,,,,,,,,,,,,,,,,,,12
