,AMX morning,AMX afternoon,AMX overnight,FMX morning,FMX afternoon,FMX overnight
1,,BAG,BAG,GU,GU,
2,BAG,,,BLC,BAG,BAG
3,BLC,,,BAG,BAG,BAG
4,BAG,BAG,,BAG,BAG,
5,,Connection,add,Jun,Connection,add
6,Puck,Puck,,,,
7,Puck,Puck,,,,
8,BLC,,,BLC,BLC,BLC
9,BAG,BAG,BAG,available-,BAG,BAG
10,BLC,BAG30500,BAG,GU,GU,
11,BLC,,,PR,BAG,BAG
12,BAG,GU,GU,BAG,PR,PR
13,BAG,,,BAG,BAG,PR
14,BAG,BAG,,BAG,BAG,PR
15,GU,BAG,BAG,PR,GU,
16,,,,10am-12pm,,
18,BLC,,,BLC,PR,PR
19,BAG,GU,GU,BAG,BAG,PR
20,BAG,BAG,,BAG,GU,
21,BAG,BAG,,BAG,BAG,
22,BAG,BAG,BAG,BAG,BAG,Dewar
23,PR,PR,PR,BLC,BAG,BAG
24,GU,BAG,BAG,PR,BAG,
25,BAG,DB-backup,,BAG,DB-backup,
