,Cycle,Year,Month,Day,Time
0,Cycle-1,2020,1,17,16:00-22:00
1,Cycle-1,2020,1,17,22:00-7:00
2,Cycle-1,2020,1,30,16:00-22:00
3,Cycle-1,2020,1,30,22:00-7:00
4,Cycle-1,2020,2,6,09:00-15:00
5,Cycle-1,2020,2,6,16:00-22:00
6,Cycle-1,2020,2,13,09:00-15:00
7,Cycle-1,2020,2,13,16:00-22:00
8,Cycle-1,2020,2,27,09:00-15:00
9,Cycle-1,2020,2,27,16:00-22:00
10,Cycle-1,2020,3,5,09:00-15:00
11,Cycle-1,2020,3,5,22:00-7:00
12,Cycle-1,2020,3,12,09:00-15:00
13,Cycle-1,2020,3,12,22:00-7:00
14,Cycle-1,2020,3,19,09:00-15:00
15,Cycle-1,2020,3,19,16:00-22:00
16,Cycle-1,2020,3,19,22:00-7:00
17,Cycle-1,2020,3,20,09:00-15:00
18,Cycle-1,2020,3,25,09:00-15:00
19,Cycle-1,2020,3,27,09:00-15:00
20,Cycle-1,2020,4,2,09:00-15:00
21,Cycle-1,2020,4,17,09:00-15:00
22,Cycle-1,2020,5,8,09:00-15:00
23,Cycle-1,2020,5,13,09:00-15:00
24,Cycle-1,2020,5,22,09:00-15:00
25,Cycle-1,2020,5,27,09:00-15:00
26,Cycle-1,2020,6,5,09:00-15:00
27,Cycle-1,2020,6,12,09:00-15:00
28,Cycle-2,2020,7,17,09:00-15:00
29,Cycle-2,2020,7,28,09:00-15:00
30,Cycle-2,2020,8,11,09:00-15:00
31,Cycle-2,2020,8,11,16:00-22:00
32,Cycle-2,2020,8,11,22:00-7:00
33,Cycle-2,2020,8,20,16:00-22:00
34,Cycle-2,2020,8,20,22:00-7:00
35,Cycle-2,2020,8,27,16:00-22:00
36,Cycle-2,2020,8,28,09:00-15:00
37,Cycle-2,2020,8,28,16:00-22:00
38,Cycle-2,2020,8,28,22:00-7:00
39,Cycle-2,2020,8,29,09:00-15:00
40,Cycle-2,2020,8,30,16:00-22:00
41,Cycle-2,2020,8,31,16:00-22:00
42,Cycle-2,2020,8,31,22:00-7:00
70,Cycle-2,2020,9,9,16:00-22:00
43,Cycle-3,2020,11,1,16:00-22:00
44,Cycle-3,2020,11,2,16:00-22:00
45,Cycle-3,2020,11,20,09:00-15:00
46,Cycle-3,2020,11,20,16:00-22:00
47,Cycle-3,2020,11,20,22:00-7:00
48,Cycle-3,2020,11,21,09:00-15:00
49,Cycle-3,2020,11,21,16:00-22:00
50,Cycle-3,2020,12,3,09:00-15:00
51,Cycle-3,2020,12,13,09:00-15:00
52,Cycle-3,2020,12,15,09:00-15:00
53,Cycle-3,2020,12,15,16:00-22:00
54,Cycle-3,2020,12,15,22:00-7:00
55,Cycle-3,2020,12,17,16:00-22:00
56,Cycle-1,2021,2,11,09:00-15:00
57,Cycle-1,2021,2,26,09:00-15:00
58,Cycle-1,2021,2,26,16:00-22:00
59,Cycle-1,2021,2,26,22:00-7:00
60,Cycle-1,2021,2,28,09:00-15:00
61,Cycle-1,2021,3,23,09:00-15:00
62,Cycle-1,2021,3,23,16:00-22:00
63,Cycle-1,2021,3,23,22:00-7:00
64,Cycle-2,2021,6,25,09:00-15:00
65,Cycle-2,2021,7,28,16:00-22:00
66,Cycle-2,2021,7,29,09:00-15:00
67,Cycle-2,2021,7,29,16:00-22:00
68,Cycle-2,2021,7,29,22:00-7:00
69,Cycle-2,2021,7,30,16:00-22:00
