,Date,Time,Unmount
0,25/02/21,16:35:14,-0.859
1,25/02/21,16:39:00,-0.8
2,25/02/21,16:45:15,-0.822
3,25/02/21,16:49:02,-0.825
4,25/02/21,16:53:10,-0.819
5,25/02/21,16:56:36,-0.804
6,25/02/21,16:59:59,-0.819
7,25/02/21,17:02:30,-0.785
8,25/02/21,17:07:08,-0.795
9,25/02/21,17:10:43,-0.797
10,25/02/21,17:13:54,-0.8
11,25/02/21,17:21:47,-0.788
12,25/02/21,19:20:05,-0.845
13,25/02/21,19:22:01,-0.8
14,25/02/21,19:24:14,-0.826
15,25/02/21,19:26:45,-0.822
16,25/02/21,19:28:27,-0.8
17,25/02/21,19:30:01,-0.8
18,25/02/21,19:31:41,-0.827
19,25/02/21,19:33:08,-0.816
20,25/02/21,19:34:39,-0.827
21,25/02/21,19:36:41,-0.829
22,25/02/21,19:41:22,-0.8
23,25/02/21,19:43:32,-0.8
24,25/02/21,19:47:22,-0.805
25,25/02/21,19:49:23,-0.808
26,25/02/21,19:52:00,-0.8
27,25/02/21,19:57:29,-0.8
28,25/02/21,20:01:25,-0.8
