,Date,Time,Load
0,28/06/21,14:50:57,-1.209
1,28/06/21,15:08:42,-1.15
2,28/06/21,15:15:37,-1.1
3,28/06/21,15:22:07,-1.102
4,28/06/21,15:28:59,-1.441
5,28/06/21,15:35:03,-1.135
6,28/06/21,15:41:22,-0.8
7,28/06/21,15:47:25,-1.002
8,28/06/21,15:52:43,-1.046
9,28/06/21,16:00:05,-1.067
10,28/06/21,16:20:17,-1.076
11,28/06/21,16:31:04,-1.044
12,28/06/21,16:40:39,-1.234
13,28/06/21,16:49:52,-1.133
14,28/06/21,17:20:22,-1.158
15,28/06/21,17:34:17,-1.038
16,28/06/21,17:46:15,-0.941
17,28/06/21,18:19:40,-1.228
18,28/06/21,18:29:39,-1.07
