,Date,Mounts
0,20200125,265
1,20180719,36
2,20190829,88
3,20180813,81
4,20191231,3
5,20171130,123
6,20201103,60
7,20200422,17
8,20191102,100
9,20200117,150
10,20171117,9
11,20190607,110
12,20190524,109
13,20180607,85
14,20190521,25
15,20200303,75
16,20180601,33
17,20201030,89
18,20181205,3
19,20200806,73
20,20190301,124
21,20201217,24
22,20171101,51
23,20190308,96
24,20180201,45
25,20200911,87
26,20190311,56
27,20210219,98
28,20191121,86
29,20210719,30
30,20180411,2
31,20170922,86
32,20181117,164
33,20171021,80
34,20170914,71
35,20181018,58
36,20200501,29
37,20181206,97
38,20190629,167
39,20190527,32
40,20171010,95
41,20190624,14
42,20190823,49
43,20190403,108
44,20190627,55
45,20190428,17
46,20171120,72
47,20180827,59
48,20191212,131
49,20210228,116
50,20190628,24
51,20200521,4
52,20191211,211
53,20200610,29
54,20190320,71
55,20171031,107
56,20170803,78
57,20190604,96
58,20190809,84
59,20180611,45
60,20190815,82
61,20170912,49
62,20190425,65
63,20190129,214
64,20180922,54
65,20190613,127
66,20181106,66
67,20180521,123
68,20200318,129
69,20200131,139
70,20170814,13
71,20180623,127
72,20200611,48
73,20200225,3
74,20180804,74
75,20190905,289
76,20210728,83
77,20201202,56
78,20190221,35
79,20180809,69
80,20190621,126
81,20180207,2
82,20210524,3
83,20180926,3
84,20181002,35
85,20180206,3
86,20180524,150
87,20180126,142
88,20190125,242
89,20190731,144
90,20190516,136
91,20200613,82
92,20210222,60
93,20210130,11
94,20170830,12
95,20180616,121
96,20171201,59
97,20201112,152
98,20190226,137
99,20201204,109
100,20170923,101
101,20180720,111
102,20181010,9
103,20200124,102
104,20200417,65
105,20180208,142
106,20190927,105
107,20200612,114
108,20200817,48
109,20190319,89
110,20180226,29
111,20180227,84
112,20210729,184
113,20191123,141
114,20181003,63
115,20190812,121
116,20210701,82
117,20170805,42
118,20180118,161
119,20200708,40
120,20180320,148
121,20200907,63
122,20210802,67
123,20181030,33
124,20200727,19
125,20181108,6
126,20180620,81
127,20190130,2
128,20191012,175
129,20201201,39
130,20210622,8
131,20201026,129
132,20210224,11
133,20200731,125
134,20180714,92
135,20210603,8
136,20200210,11
137,20190201,148
138,20190219,44
139,20201206,48
140,20190417,60
141,20180628,82
142,20200130,112
143,20180511,136
144,20210808,74
145,20180617,25
146,20200729,67
147,20210309,14
148,20190926,104
149,20200315,95
150,20180122,60
151,20200513,118
152,20190508,29
153,20170906,23
154,20200115,37
155,20210608,23
156,20190212,136
157,20210319,125
158,20190605,98
159,20200605,49
160,20210806,81
161,20191124,49
162,20171011,10
163,20180818,114
164,20191002,74
165,20180224,26
166,20181207,110
167,20200810,46
168,20190611,5
169,20180525,10
170,20180803,123
171,20180308,48
172,20200820,212
173,20190819,3
174,20181115,33
175,20200213,111
176,20201105,59
177,20210610,28
178,20201211,135
179,20171023,65
180,20190501,148
181,20180615,46
182,20190928,45
183,20190306,138
184,20170823,66
185,20191005,10
186,20180817,90
187,20180821,2
188,20200325,69
189,20200717,65
190,20181017,8
191,20190209,83
192,20170913,124
193,20191031,174
194,20210304,117
195,20210321,113
196,20210318,79
197,20171025,68
198,20180731,71
199,20181102,16
200,20200408,3
201,20180801,119
202,20201102,101
203,20210809,114
204,20201216,95
205,20200824,121
206,20180330,60
207,20190525,65
208,20190124,97
209,20180811,45
210,20190517,103
211,20190830,10
212,20210614,19
213,20180828,32
214,20190509,122
215,20210121,3
216,20181006,132
217,20170919,40
218,20200428,62
219,20180301,8
220,20170921,48
221,20200529,41
222,20180202,101
223,20180815,31
224,20190405,64
225,20210324,58
226,20191013,94
227,20190429,76
228,20180911,208
229,20180404,125
230,20171006,44
231,20190827,84
232,20190214,128
233,20170929,75
234,20200918,30
235,20210801,32
236,20190123_mounts,106
237,20180928,96
238,20180328,62
239,20210707,10
240,20200406,2
241,20210527,29
242,20180216,51
243,20190617,82
244,20200123,91
245,20190608,87
246,20200917,3
247,20190314,70
248,20180209,120
249,20180213,96
250,20190615,104
251,20180203,39
252,20171110,90
253,20190912,3
254,20200110,58
