,Date,Time,Proximity Sensor 1
0,23/01/19,09:39:45,1.7982
1,23/01/19,09:39:55,1.7896
2,23/01/19,09:40:05,1.7853
3,23/01/19,09:40:16,1.7774
4,23/01/19,09:40:26,1.7752
5,23/01/19,09:40:36,1.7695
6,23/01/19,09:40:46,1.7666
7,23/01/19,09:40:56,1.7623
8,23/01/19,09:41:06,1.7559
9,23/01/19,09:41:16,1.7552
10,23/01/19,09:41:26,1.7552
11,23/01/19,09:41:36,1.7559
12,23/01/19,09:41:46,1.7566
13,23/01/19,09:41:56,1.7587
14,23/01/19,09:42:06,1.7595
15,23/01/19,09:42:16,1.7645
16,23/01/19,09:42:27,1.7659
17,23/01/19,09:42:37,1.7652
18,23/01/19,09:42:46,1.7666
19,23/01/19,09:42:56,1.7645
20,23/01/19,09:43:07,1.7652
21,23/01/19,09:43:17,1.7645
22,23/01/19,09:43:27,1.7659
23,23/01/19,09:43:38,1.7645
24,23/01/19,09:43:48,1.7666
25,23/01/19,09:43:58,1.7674
26,23/01/19,09:44:08,1.7645
27,23/01/19,09:44:18,1.7645
28,23/01/19,09:44:28,1.7623
29,23/01/19,09:44:38,1.7666
30,23/01/19,09:44:48,1.7659
31,23/01/19,09:44:58,1.7666
32,23/01/19,09:45:08,1.7659
33,23/01/19,09:45:18,1.7645
34,23/01/19,09:45:28,1.7645
35,23/01/19,09:45:38,1.7616
36,23/01/19,09:45:48,1.7616
37,23/01/19,09:45:58,1.7616
38,23/01/19,09:46:08,1.7616
39,23/01/19,09:46:18,1.7609
40,23/01/19,09:46:28,1.7638
41,23/01/19,09:46:39,1.7616
42,23/01/19,09:46:49,1.7638
43,23/01/19,09:46:59,1.7645
44,23/01/19,09:47:09,1.7638
45,23/01/19,09:47:19,1.7652
46,23/01/19,09:47:29,1.7652
47,23/01/19,09:47:39,1.7638
48,23/01/19,09:47:48,1.7609
49,23/01/19,09:47:58,1.7595
50,23/01/19,09:48:08,1.7587
51,23/01/19,09:48:18,1.7595
52,23/01/19,09:48:29,1.7595
53,23/01/19,09:48:39,1.7602
54,23/01/19,09:48:49,1.7595
55,23/01/19,09:48:59,1.7609
56,23/01/19,09:49:08,1.7623
57,23/01/19,09:49:18,1.7645
58,23/01/19,09:49:28,1.7645
59,23/01/19,09:49:38,1.7616
60,23/01/19,09:49:48,1.7595
61,23/01/19,09:49:58,1.7587
62,23/01/19,09:50:09,1.758
63,23/01/19,09:50:19,1.7602
64,23/01/19,09:50:28,1.7602
65,23/01/19,09:50:38,1.7609
66,23/01/19,09:50:48,1.7595
67,23/01/19,09:50:58,1.7595
68,23/01/19,09:51:08,1.7587
69,23/01/19,09:51:19,1.7587
70,23/01/19,09:51:29,1.7587
71,23/01/19,09:51:39,1.7587
72,23/01/19,09:51:49,1.7587
73,23/01/19,09:52:00,1.7595
74,23/01/19,09:52:10,1.7587
75,23/01/19,09:52:20,1.758
76,23/01/19,09:52:31,1.7559
77,23/01/19,09:52:41,1.7573
78,23/01/19,09:52:51,1.7573
79,23/01/19,09:53:01,1.7602
80,23/01/19,09:53:10,1.7595
81,23/01/19,09:53:20,1.7566
82,23/01/19,09:53:30,1.753
83,23/01/19,09:53:40,1.7516
84,23/01/19,09:53:50,1.753
85,23/01/19,09:54:00,1.753
86,23/01/19,09:54:10,1.7559
87,23/01/19,09:54:20,1.7559
88,23/01/19,09:54:30,1.7559
89,23/01/19,09:54:41,1.7573
90,23/01/19,09:54:51,1.7573
91,23/01/19,09:55:01,1.7552
92,23/01/19,09:55:11,1.7516
93,23/01/19,09:55:21,1.7501
94,23/01/19,09:55:31,1.7494
95,23/01/19,09:55:41,1.7509
96,23/01/19,09:55:50,1.7523
97,23/01/19,09:56:00,1.7552
98,23/01/19,09:56:10,1.7544
99,23/01/19,09:56:20,1.7552
100,23/01/19,09:56:30,1.7516
101,23/01/19,09:56:40,1.7516
102,23/01/19,09:56:51,1.7509
103,23/01/19,09:57:00,1.7501
104,23/01/19,09:57:10,1.7501
105,23/01/19,09:57:20,1.7494
106,23/01/19,09:57:30,1.7516
107,23/01/19,09:57:41,1.7523
108,23/01/19,09:57:51,1.753
109,23/01/19,09:58:01,1.7523
110,23/01/19,09:58:11,1.7516
111,23/01/19,09:58:21,1.7501
112,23/01/19,09:58:31,1.7466
113,23/01/19,09:58:41,1.748
114,23/01/19,09:58:51,1.7451
115,23/01/19,09:59:01,1.7458
116,23/01/19,09:59:11,1.748
117,23/01/19,09:59:21,1.7494
118,23/01/19,09:59:31,1.7487
