,Date,Time,Proximity Sensor 1
0,06/08/19,18:08:28,1.8964
1,06/08/19,18:08:38,1.8921
2,06/08/19,18:08:48,1.8914
3,06/08/19,18:08:57,1.8828
4,06/08/19,18:09:07,1.8828
5,06/08/19,18:09:17,1.8813
6,06/08/19,18:09:27,1.8813
7,06/08/19,18:09:36,1.8799
8,06/08/19,18:09:46,1.8828
9,06/08/19,18:09:56,1.8849
10,06/08/19,18:10:06,1.8863
11,06/08/19,18:10:16,1.8863
12,06/08/19,18:10:25,1.8863
13,06/08/19,18:10:35,1.8842
14,06/08/19,18:10:45,1.8813
15,06/08/19,18:10:54,1.8806
16,06/08/19,18:11:04,1.882
17,06/08/19,18:11:14,1.8828
18,06/08/19,18:11:23,1.882
19,06/08/19,18:11:33,1.8835
20,06/08/19,18:11:43,1.8849
21,06/08/19,18:11:53,1.8835
22,06/08/19,18:12:03,1.8813
23,06/08/19,18:12:13,1.882
24,06/08/19,18:12:23,1.882
25,06/08/19,18:12:33,1.8828
26,06/08/19,18:12:42,1.882
27,06/08/19,18:12:52,1.8828
28,06/08/19,18:13:02,1.8828
29,06/08/19,18:13:12,1.8828
30,06/08/19,18:13:22,1.8828
31,06/08/19,18:13:32,1.8799
32,06/08/19,18:13:42,1.882
33,06/08/19,18:13:52,1.8792
34,06/08/19,18:14:02,1.8813
35,06/08/19,18:14:11,1.8835
36,06/08/19,18:14:21,1.8835
37,06/08/19,18:14:31,1.877
38,06/08/19,18:14:41,1.8763
39,06/08/19,18:14:50,1.8763
40,06/08/19,18:15:01,1.8749
41,06/08/19,18:15:10,1.8742
42,06/08/19,18:15:20,1.8749
43,06/08/19,18:15:30,1.8756
44,06/08/19,18:15:40,1.8763
45,06/08/19,18:15:50,1.8756
46,06/08/19,18:16:00,1.8763
47,06/08/19,18:16:10,1.8763
48,06/08/19,18:16:20,1.8777
49,06/08/19,18:16:30,1.8799
50,06/08/19,18:16:39,1.8799
51,06/08/19,18:16:49,1.8806
52,06/08/19,18:16:58,1.8777
53,06/08/19,18:17:08,1.8799
54,06/08/19,18:17:18,1.8813
55,06/08/19,18:17:27,1.8813
56,06/08/19,18:17:37,1.8763
57,06/08/19,18:17:47,1.8777
58,06/08/19,18:17:57,1.8777
59,06/08/19,18:18:07,1.8763
60,06/08/19,18:18:16,1.8756
61,06/08/19,18:18:26,1.8792
62,06/08/19,18:18:36,1.8813
63,06/08/19,18:18:46,1.8806
64,06/08/19,18:18:56,1.8806
65,06/08/19,18:19:06,1.8799
66,06/08/19,18:19:15,1.8792
67,06/08/19,18:19:25,1.8756
68,06/08/19,18:19:35,1.8742
69,06/08/19,18:19:45,1.8727
70,06/08/19,18:19:55,1.8734
71,06/08/19,18:20:05,1.8734
72,06/08/19,18:20:14,1.8734
73,06/08/19,18:20:24,1.8742
74,06/08/19,18:20:34,1.8742
75,06/08/19,18:20:44,1.8749
76,06/08/19,18:20:54,1.8734
77,06/08/19,18:21:04,1.8749
78,06/08/19,18:21:14,1.8749
79,06/08/19,18:21:24,1.8756
80,06/08/19,18:21:34,1.8749
81,06/08/19,18:21:44,1.8734
82,06/08/19,18:21:54,1.8742
83,06/08/19,18:22:04,1.8734
84,06/08/19,18:22:14,1.8749
85,06/08/19,18:22:24,1.8749
86,06/08/19,18:22:34,1.8734
87,06/08/19,18:22:44,1.8749
88,06/08/19,18:22:54,1.8742
89,06/08/19,18:23:04,1.8734
90,06/08/19,18:23:14,1.8734
91,06/08/19,18:23:24,1.8734
92,06/08/19,18:23:34,1.872
93,06/08/19,18:23:43,1.872
94,06/08/19,18:23:54,1.8684
95,06/08/19,18:24:03,1.8656
96,06/08/19,18:24:13,1.8656
97,06/08/19,18:24:24,1.8663
98,06/08/19,18:24:33,1.872
99,06/08/19,18:24:43,1.8727
100,06/08/19,18:24:53,1.8706
101,06/08/19,18:25:03,1.8727
102,06/08/19,18:25:13,1.8727
103,06/08/19,18:25:23,1.8734
104,06/08/19,18:25:33,1.872
105,06/08/19,18:25:43,1.8742
106,06/08/19,18:25:53,1.8727
107,06/08/19,18:26:03,1.8706
108,06/08/19,18:26:13,1.8706
109,06/08/19,18:26:23,1.867
110,06/08/19,18:26:33,1.8727
111,06/08/19,18:26:42,1.8727
112,06/08/19,18:26:52,1.8699
113,06/08/19,18:27:02,1.8684
114,06/08/19,18:27:12,1.867
115,06/08/19,18:27:22,1.8684
116,06/08/19,18:27:31,1.8634
117,06/08/19,18:27:41,1.8641
118,06/08/19,18:27:51,1.8641
119,06/08/19,18:28:01,1.8656
120,06/08/19,18:28:11,1.8648
121,06/08/19,18:28:21,1.8634
122,06/08/19,18:28:31,1.8641
123,06/08/19,18:28:41,1.8627
124,06/08/19,18:28:51,1.8605
