,Date,Mounts
0,20210219,10
1,20210217,5
2,20210222,8
3,20210729,2
4,20210802,10
5,20210608,6
6,20210806,5
7,20210809,7
8,20210205,11
9,20210727,3
10,20210730,10
11,20210810,20
12,20210630,13
13,20210226,10
14,20210218,2
15,20210629,9
16,20210128,3
17,20210805,11
18,20210726,6
19,20210617,15
20,20210628,12
21,20210625,10
22,20210618,2
23,20210225,4
24,20210731,11
25,20210219,10
26,20210217,5
27,20210222,8
28,20210729,2
29,20210802,10
30,20210608,6
31,20210806,5
32,20210809,7
33,20210205,11
34,20210727,3
35,20210730,10
36,20210810,20
37,20210630,13
38,20210226,10
39,20210218,2
40,20210629,9
41,20210128,3
42,20210805,11
43,20210726,6
44,20210617,15
45,20210628,12
46,20210625,10
47,20210618,2
48,20210225,4
49,20210731,11
